"User ID";"Age Group";"Gender";"Country";"Device Type";"Subscription Plan";"Preferred Watch Time";"Top Watched Language";"Average Daily Watch Minutes";"Number of Titles Watched";"Average Episode Length (minutes)";"Account Age (Months)";"Days Since Last Login";"Average Completion Rate (%)";"Number of Rewatches";"Preferred Genre (Target Variable)"
3674;"45-54";"Female";"UK";"Tablet";"Standard";"Morning";"German";188;101;50;67;19;58.2;0;"Drama"
3675;"45-54";"Non-binary";"Australia";"Mobile";"Basic";"Evening";"Spanish";219;128;26;63;11;87.25;2;"Thriller"
3676;"35-44";"Female";"USA";"Tablet";"Standard";"Afternoon";"French";191;70;53;70;5;63.91;0;"Drama"
3677;"35-44";"Male";"India";"Tablet";"Basic";"Evening";"English";92;110;53;54;1;79.87;5;"Action"
3678;"25-34";"Male";"UK";"TV";"Basic";"Afternoon";"Hindi";205;125;43;27;3;77.3;4;"Action"
3679;"35-44";"Male";"Canada";"TV";"Standard";"Night";"Hindi";187;42;34;36;15;64.39;1;"Thriller"
3680;"55+";"Male";"Germany";"Tablet";"Basic";"Afternoon";"Japanese";89;87;35;5;28;84.31;3;"Thriller"
3681;"18-24";"Non-binary";"Australia";"Mobile";"Standard";"Evening";"French";206;33;31;67;23;98.25;6;"Comedy"
3682;"35-44";"Female";"Australia";"Tablet";"Basic";"Afternoon";"Hindi";99;61;37;51;13;73.41;4;"Thriller"
3683;"35-44";"Non-binary";"UK";"Laptop";"Premium";"Afternoon";"English";153;110;26;32;16;78.69;2;"Action"
3684;"18-24";"Male";"Germany";"Laptop";"Premium";"Evening";"French";258;125;54;21;18;71.28;7;"Action"
3685;"13-17";"Female";"Germany";"Laptop";"Standard";"Afternoon";"Hindi";147;132;46;17;3;78.57;4;"Action"
3686;"55+";"Non-binary";"Australia";"TV";"Standard";"Afternoon";"Hindi";78;15;25;26;17;75.85;2;"Drama"
3687;"55+";"Male";"Australia";"Mobile";"Standard";"Evening";"English";110;85;51;22;11;65.84;2;"Thriller"
3688;"45-54";"Female";"Canada";"Tablet";"Standard";"Night";"German";167;99;31;41;1;61.06;3;"Thriller"
3689;"35-44";"Female";"Germany";"Mobile";"Premium";"Morning";"Hindi";72;132;25;59;5;60.99;1;"Drama"
3690;"18-24";"Male";"USA";"Mobile";"Standard";"Morning";"Japanese";196;73;49;10;5;82.26;2;"Action"
3691;"45-54";"Male";"UK";"Mobile";"Basic";"Morning";"Hindi";113;90;28;5;2;69.14;1;"Drama"
3692;"25-34";"Female";"UK";"Laptop";"Basic";"Morning";"Hindi";49;80;54;55;7;87.33;3;"Action"
3693;"13-17";"Male";"Canada";"Tablet";"Standard";"Morning";"English";243;74;32;26;11;90.42;3;"Action"
3694;"35-44";"Non-binary";"Canada";"TV";"Basic";"Morning";"English";234;122;45;4;2;66.34;5;"Action"
3695;"13-17";"Male";"USA";"Mobile";"Standard";"Evening";"French";170;111;28;27;1;98.68;5;"Comedy"
3696;"35-44";"Male";"India";"Mobile";"Basic";"Evening";"Japanese";244;13;28;58;20;61.55;2;"Thriller"
3697;"35-44";"Male";"UK";"Laptop";"Basic";"Evening";"Spanish";148;145;32;3;28;71.47;3;"Thriller"
3698;"35-44";"Female";"Germany";"Laptop";"Standard";"Afternoon";"English";198;69;50;50;22;75.27;1;"Thriller"
3699;"13-17";"Female";"Australia";"Tablet";"Standard";"Night";"Spanish";66;54;53;26;0;74.49;5;"Action"
3700;"55+";"Male";"USA";"TV";"Premium";"Night";"Japanese";237;81;40;18;17;67.45;0;"Drama"
3701;"25-34";"Female";"UK";"TV";"Standard";"Morning";"Hindi";66;104;43;7;17;72.96;6;"Action"
3702;"55+";"Male";"Germany";"Laptop";"Premium";"Morning";"French";266;40;25;45;7;70.54;0;"Drama"
3703;"18-24";"Non-binary";"USA";"Tablet";"Standard";"Evening";"Hindi";150;129;58;13;25;65.39;5;"Action"
3704;"18-24";"Female";"India";"Mobile";"Basic";"Night";"French";48;73;53;6;21;71.29;8;"Comedy"
3705;"55+";"Male";"Germany";"Tablet";"Premium";"Afternoon";"Spanish";45;76;51;35;13;68.74;2;"Thriller"
3706;"25-34";"Female";"UK";"TV";"Basic";"Afternoon";"Japanese";173;118;54;53;28;72.28;0;"Drama"
3707;"25-34";"Non-binary";"Australia";"Laptop";"Standard";"Evening";"Japanese";271;77;30;68;12;59.71;2;"Drama"
3708;"35-44";"Non-binary";"Germany";"Mobile";"Standard";"Morning";"English";65;44;26;42;14;56.11;2;"Drama"
3709;"35-44";"Male";"UK";"Mobile";"Standard";"Night";"Spanish";82;107;38;4;14;84.05;2;"Drama"
3710;"18-24";"Female";"USA";"TV";"Standard";"Afternoon";"French";58;45;32;60;12;96.61;7;"Comedy"
3711;"35-44";"Non-binary";"India";"Mobile";"Premium";"Morning";"English";55;141;27;45;3;93.46;4;"Action"
3712;"35-44";"Female";"Germany";"Tablet";"Premium";"Night";"Spanish";144;58;59;66;3;83.29;4;"Thriller"
3713;"25-34";"Male";"USA";"TV";"Standard";"Afternoon";"English";62;27;51;22;4;62.24;1;"Thriller"
3714;"13-17";"Non-binary";"USA";"TV";"Basic";"Morning";"English";242;69;58;12;2;74.03;9;"Comedy"
3715;"55+";"Non-binary";"Canada";"Mobile";"Premium";"Afternoon";"Japanese";247;95;52;51;11;66.47;0;"Drama"
3716;"45-54";"Female";"USA";"TV";"Basic";"Morning";"Japanese";196;147;55;17;29;67.05;1;"Thriller"
3717;"45-54";"Non-binary";"Germany";"Laptop";"Standard";"Morning";"Hindi";205;122;41;36;19;78.92;1;"Thriller"
3718;"35-44";"Male";"India";"Tablet";"Premium";"Morning";"Hindi";98;32;43;49;11;65.56;2;"Action"
3719;"35-44";"Male";"Australia";"TV";"Premium";"Night";"Japanese";87;77;35;16;19;85.64;3;"Thriller"
3720;"55+";"Non-binary";"Canada";"Laptop";"Premium";"Evening";"Japanese";187;68;33;44;6;87.68;3;"Thriller"
3721;"45-54";"Male";"USA";"Mobile";"Basic";"Morning";"English";60;99;54;22;6;72.03;3;"Thriller"
3722;"25-34";"Non-binary";"Germany";"TV";"Standard";"Morning";"Hindi";195;16;30;8;0;72.8;0;"Drama"
3723;"45-54";"Non-binary";"UK";"Laptop";"Standard";"Afternoon";"Japanese";217;22;38;18;11;63.28;3;"Thriller"
3724;"45-54";"Non-binary";"Canada";"Mobile";"Premium";"Afternoon";"Spanish";72;140;55;38;2;83.87;1;"Thriller"
3725;"45-54";"Non-binary";"India";"Laptop";"Premium";"Night";"Spanish";153;20;35;29;14;85.69;4;"Thriller"
3726;"35-44";"Female";"UK";"Mobile";"Standard";"Evening";"Hindi";79;60;29;2;8;77.94;3;"Thriller"
3727;"35-44";"Non-binary";"India";"Tablet";"Basic";"Afternoon";"Spanish";257;41;55;59;21;81.34;4;"Thriller"
3728;"55+";"Male";"UK";"TV";"Premium";"Night";"French";221;51;26;42;21;70.78;2;"Thriller"
3729;"45-54";"Female";"Australia";"Tablet";"Basic";"Night";"English";49;111;41;21;19;70.29;1;"Thriller"
3730;"35-44";"Male";"India";"Tablet";"Basic";"Night";"Hindi";201;130;27;2;25;69.86;5;"Action"
3731;"55+";"Non-binary";"UK";"TV";"Standard";"Morning";"French";112;87;53;5;8;74.61;0;"Drama"
3732;"45-54";"Male";"India";"Tablet";"Standard";"Evening";"Japanese";75;81;57;17;13;86.52;2;"Thriller"
3733;"25-34";"Female";"Canada";"Tablet";"Basic";"Evening";"French";114;115;38;24;27;84.79;5;"Action"
3734;"35-44";"Male";"India";"Laptop";"Basic";"Evening";"Spanish";241;128;53;8;2;75.81;4;"Thriller"
3735;"13-17";"Female";"Germany";"Mobile";"Standard";"Morning";"English";277;42;47;30;7;77.28;4;"Action"
3736;"55+";"Non-binary";"India";"Tablet";"Premium";"Morning";"Japanese";174;88;41;50;28;87.84;2;"Thriller"
3737;"35-44";"Non-binary";"UK";"TV";"Basic";"Afternoon";"German";154;87;35;22;5;67.04;2;"Thriller"
3738;"25-34";"Male";"India";"Laptop";"Premium";"Afternoon";"English";269;128;52;59;11;75.12;2;"Action"
3739;"25-34";"Male";"Australia";"Mobile";"Basic";"Afternoon";"Spanish";55;66;31;24;1;76.83;3;"Thriller"
3740;"35-44";"Non-binary";"USA";"Tablet";"Standard";"Night";"English";218;61;32;26;2;61.47;3;"Thriller"
3741;"18-24";"Non-binary";"Canada";"Tablet";"Premium";"Evening";"German";257;81;53;61;13;68.84;4;"Action"
3742;"55+";"Male";"Germany";"TV";"Standard";"Morning";"German";263;77;49;8;16;88.23;0;"Drama"
3743;"45-54";"Non-binary";"UK";"Tablet";"Basic";"Afternoon";"English";228;109;31;12;2;55.98;1;"Drama"
3744;"45-54";"Female";"India";"TV";"Standard";"Night";"Japanese";198;91;46;14;3;67.83;1;"Drama"
3745;"25-34";"Female";"India";"Tablet";"Premium";"Morning";"French";199;68;33;30;14;85.05;2;"Thriller"
3746;"35-44";"Male";"India";"Tablet";"Standard";"Night";"Japanese";84;28;35;55;29;92.99;5;"Action"
3747;"18-24";"Male";"Canada";"TV";"Premium";"Night";"German";243;12;58;61;21;78.85;4;"Action"
3748;"55+";"Non-binary";"Germany";"Mobile";"Standard";"Night";"Hindi";66;48;51;62;25;66.45;1;"Thriller"
3749;"13-17";"Non-binary";"USA";"Laptop";"Standard";"Evening";"Hindi";61;75;46;31;29;73.35;5;"Action"
3750;"45-54";"Female";"Australia";"TV";"Premium";"Morning";"Japanese";182;82;27;27;6;61.59;1;"Drama"
3751;"55+";"Male";"Germany";"Mobile";"Premium";"Morning";"Hindi";47;143;32;1;18;56.58;1;"Drama"
3752;"55+";"Male";"Australia";"Mobile";"Premium";"Night";"Japanese";235;37;30;41;13;64.16;4;"Thriller"
3753;"18-24";"Male";"Germany";"TV";"Basic";"Evening";"Spanish";155;107;49;14;15;77.53;3;"Comedy"
3754;"55+";"Male";"UK";"Laptop";"Standard";"Night";"Japanese";175;102;26;50;26;70.81;3;"Thriller"
3755;"45-54";"Female";"USA";"TV";"Premium";"Afternoon";"Spanish";126;135;40;42;12;75.01;3;"Thriller"
3756;"35-44";"Female";"USA";"Tablet";"Basic";"Morning";"French";156;25;45;71;22;76.08;2;"Thriller"
3757;"45-54";"Male";"Canada";"Tablet";"Basic";"Morning";"German";55;44;39;40;28;58.47;0;"Drama"
3758;"13-17";"Female";"Germany";"Mobile";"Premium";"Evening";"Hindi";215;84;58;14;19;85.17;6;"Comedy"
3759;"35-44";"Male";"India";"Tablet";"Premium";"Morning";"French";201;116;44;11;16;73.17;0;"Drama"
3760;"25-34";"Female";"USA";"Laptop";"Premium";"Morning";"French";253;96;55;63;16;83.67;6;"Action"
3761;"18-24";"Non-binary";"Germany";"TV";"Basic";"Morning";"German";152;78;39;49;23;71.62;5;"Comedy"
3762;"45-54";"Female";"India";"Laptop";"Basic";"Evening";"English";254;125;52;37;9;87.49;0;"Drama"
3763;"35-44";"Male";"Canada";"Mobile";"Standard";"Night";"English";96;17;30;10;6;75.28;0;"Drama"
3764;"55+";"Non-binary";"Germany";"Tablet";"Basic";"Morning";"French";172;116;27;54;19;62.51;4;"Thriller"
3765;"35-44";"Male";"Germany";"Tablet";"Premium";"Night";"French";268;116;47;7;16;60.54;4;"Thriller"
3766;"45-54";"Non-binary";"UK";"TV";"Standard";"Evening";"German";83;123;27;12;21;68.58;3;"Thriller"
3767;"25-34";"Non-binary";"Germany";"Laptop";"Standard";"Night";"Japanese";110;19;32;55;26;94.75;6;"Action"
3768;"45-54";"Female";"UK";"Laptop";"Standard";"Afternoon";"Japanese";76;37;26;36;11;65.96;3;"Thriller"
3769;"25-34";"Female";"India";"TV";"Standard";"Morning";"Hindi";257;69;31;7;10;63.27;2;"Drama"
3770;"55+";"Non-binary";"India";"Tablet";"Premium";"Evening";"German";163;19;41;24;9;81.43;4;"Thriller"
3771;"45-54";"Non-binary";"USA";"Mobile";"Standard";"Evening";"English";67;111;31;34;22;61.88;1;"Thriller"
3772;"35-44";"Non-binary";"Canada";"Mobile";"Premium";"Night";"German";107;72;57;65;21;81.66;4;"Thriller"
3773;"13-17";"Male";"UK";"TV";"Basic";"Morning";"German";152;65;28;29;27;80.0;3;"Action"
3774;"13-17";"Female";"USA";"TV";"Premium";"Evening";"Hindi";263;143;40;26;21;67.33;7;"Action"
3775;"55+";"Male";"Australia";"TV";"Standard";"Afternoon";"Japanese";205;137;45;65;7;83.32;2;"Thriller"
3776;"35-44";"Female";"USA";"Laptop";"Basic";"Night";"French";85;87;42;45;29;87.07;2;"Drama"
3777;"13-17";"Male";"India";"Tablet";"Basic";"Afternoon";"English";240;148;52;17;14;76.93;4;"Comedy"
3778;"55+";"Female";"Australia";"Tablet";"Basic";"Afternoon";"Hindi";139;55;40;36;21;60.55;2;"Drama"
3779;"25-34";"Non-binary";"USA";"TV";"Standard";"Night";"English";65;78;46;63;17;61.41;3;"Thriller"
3780;"35-44";"Non-binary";"Germany";"Mobile";"Premium";"Afternoon";"English";114;54;30;23;22;58.08;2;"Drama"
3781;"25-34";"Female";"Canada";"Laptop";"Premium";"Night";"Japanese";251;104;54;66;12;91.15;7;"Action"
3782;"35-44";"Non-binary";"UK";"TV";"Standard";"Night";"French";220;117;52;42;25;82.4;2;"Thriller"
3783;"25-34";"Non-binary";"Germany";"Laptop";"Standard";"Evening";"French";230;67;41;71;15;57.09;1;"Drama"
3784;"25-34";"Male";"Australia";"TV";"Basic";"Evening";"Japanese";151;124;36;71;29;85.73;2;"Action"
3785;"13-17";"Female";"Canada";"Laptop";"Premium";"Afternoon";"Hindi";102;19;36;43;12;86.36;8;"Comedy"
3786;"35-44";"Non-binary";"USA";"Mobile";"Standard";"Afternoon";"Spanish";151;120;53;55;3;60.29;0;"Drama"
3787;"45-54";"Female";"Germany";"Mobile";"Standard";"Afternoon";"Hindi";279;22;26;56;10;56.0;0;"Drama"
3788;"13-17";"Male";"India";"Mobile";"Premium";"Afternoon";"Hindi";205;45;53;31;26;86.35;8;"Comedy"
3789;"25-34";"Female";"India";"Mobile";"Basic";"Afternoon";"Spanish";182;95;54;56;18;89.24;7;"Action"
3790;"25-34";"Male";"Canada";"Tablet";"Basic";"Evening";"English";138;137;49;48;7;91.45;3;"Action"
3791;"45-54";"Male";"India";"Tablet";"Basic";"Afternoon";"German";48;131;45;52;9;88.33;0;"Drama"
3792;"45-54";"Male";"UK";"Laptop";"Premium";"Afternoon";"Spanish";264;127;46;1;11;83.95;1;"Thriller"
3793;"25-34";"Non-binary";"Canada";"TV";"Standard";"Morning";"German";114;144;34;2;27;70.81;2;"Thriller"
3794;"45-54";"Male";"Canada";"Tablet";"Standard";"Night";"English";61;24;55;42;20;57.93;1;"Drama"
3795;"18-24";"Female";"India";"TV";"Standard";"Night";"Spanish";237;90;33;9;19;85.07;6;"Comedy"
3796;"13-17";"Female";"Canada";"Laptop";"Standard";"Evening";"Japanese";223;55;58;31;10;88.86;7;"Action"
3797;"35-44";"Non-binary";"USA";"TV";"Premium";"Night";"Hindi";76;57;47;2;19;84.68;4;"Thriller"
3798;"45-54";"Non-binary";"Australia";"Mobile";"Basic";"Afternoon";"Spanish";96;75;36;24;20;65.34;1;"Thriller"
3799;"45-54";"Male";"Germany";"Mobile";"Basic";"Night";"Spanish";227;13;31;43;27;69.41;3;"Thriller"
3800;"18-24";"Male";"Australia";"Tablet";"Basic";"Evening";"English";153;12;56;70;3;71.28;8;"Comedy"
3801;"35-44";"Male";"Germany";"Laptop";"Basic";"Night";"Japanese";252;12;43;43;18;69.99;1;"Drama"
3802;"18-24";"Non-binary";"India";"Tablet";"Standard";"Night";"Spanish";179;78;46;51;19;79.23;8;"Comedy"
3803;"35-44";"Non-binary";"UK";"Tablet";"Standard";"Morning";"Japanese";174;102;40;46;9;89.8;4;"Action"
3804;"13-17";"Female";"UK";"Tablet";"Premium";"Morning";"German";233;37;32;1;14;75.15;3;"Action"
3805;"45-54";"Male";"India";"Laptop";"Basic";"Afternoon";"Spanish";142;32;54;67;12;61.76;2;"Thriller"
3806;"13-17";"Male";"India";"Mobile";"Standard";"Night";"Japanese";80;39;30;1;12;87.27;8;"Comedy"
3807;"35-44";"Female";"Canada";"Mobile";"Standard";"Afternoon";"Hindi";191;71;26;63;20;59.06;1;"Drama"
3808;"45-54";"Female";"UK";"Tablet";"Standard";"Night";"English";257;96;58;62;27;82.17;1;"Thriller"
3809;"18-24";"Female";"Australia";"TV";"Basic";"Afternoon";"French";192;60;53;61;17;69.99;4;"Action"
3810;"25-34";"Female";"India";"Mobile";"Standard";"Afternoon";"Japanese";229;50;44;40;6;78.03;0;"Drama"
3811;"18-24";"Male";"Australia";"Mobile";"Basic";"Night";"English";251;73;27;29;29;77.24;1;"Thriller"
3812;"25-34";"Non-binary";"Germany";"Laptop";"Basic";"Morning";"French";271;52;59;35;13;84.52;3;"Action"
3813;"18-24";"Male";"Australia";"Mobile";"Premium";"Evening";"Spanish";144;100;32;11;4;75.76;5;"Action"
3814;"35-44";"Female";"UK";"Mobile";"Premium";"Afternoon";"Spanish";145;67;36;11;8;73.77;3;"Action"
3815;"13-17";"Non-binary";"Germany";"Tablet";"Basic";"Evening";"German";83;68;56;63;29;75.29;7;"Comedy"
3816;"25-34";"Male";"Australia";"Tablet";"Basic";"Night";"English";169;71;53;69;21;75.63;0;"Drama"
3817;"35-44";"Female";"Canada";"Laptop";"Basic";"Afternoon";"Hindi";209;125;45;56;26;72.9;5;"Action"
3818;"13-17";"Non-binary";"Canada";"Laptop";"Standard";"Night";"Hindi";266;120;27;7;16;71.41;7;"Action"
3819;"13-17";"Non-binary";"UK";"TV";"Standard";"Afternoon";"Japanese";200;32;51;51;24;71.65;7;"Comedy"
3820;"45-54";"Non-binary";"Canada";"Mobile";"Standard";"Morning";"Hindi";184;28;27;39;4;67.08;2;"Drama"
3821;"45-54";"Male";"India";"Tablet";"Premium";"Afternoon";"French";161;20;25;42;15;77.57;2;"Thriller"
3822;"45-54";"Female";"Germany";"Tablet";"Basic";"Afternoon";"English";230;69;44;53;8;68.31;2;"Drama"
3823;"25-34";"Male";"UK";"Mobile";"Standard";"Afternoon";"Spanish";189;12;31;21;16;62.63;2;"Drama"
3824;"25-34";"Male";"Germany";"Laptop";"Standard";"Night";"English";40;18;25;30;29;87.98;2;"Drama"
3825;"13-17";"Male";"Australia";"Tablet";"Premium";"Morning";"English";268;50;34;1;17;90.43;4;"Action"
3826;"25-34";"Non-binary";"India";"Laptop";"Premium";"Night";"Spanish";133;47;36;24;2;70.23;4;"Action"
3827;"13-17";"Female";"UK";"Tablet";"Basic";"Evening";"French";277;78;28;6;27;96.85;4;"Comedy"
3828;"35-44";"Male";"Australia";"Tablet";"Basic";"Morning";"English";237;44;31;6;4;87.08;2;"Drama"
3829;"18-24";"Female";"Australia";"TV";"Standard";"Afternoon";"Hindi";272;136;34;69;29;94.6;8;"Comedy"
3830;"13-17";"Non-binary";"Australia";"Tablet";"Standard";"Afternoon";"Japanese";221;57;46;62;21;82.67;5;"Action"
3831;"13-17";"Male";"Australia";"Mobile";"Standard";"Afternoon";"Japanese";53;116;49;35;20;85.91;3;"Action"
3832;"35-44";"Female";"Australia";"Mobile";"Standard";"Evening";"English";139;17;53;35;16;69.54;2;"Action"
3833;"45-54";"Non-binary";"UK";"Mobile";"Standard";"Evening";"French";264;36;39;48;19;66.18;3;"Thriller"
3834;"55+";"Male";"Canada";"Laptop";"Premium";"Afternoon";"Spanish";141;18;43;43;21;82.37;0;"Drama"
3835;"45-54";"Male";"Australia";"Tablet";"Basic";"Afternoon";"German";270;23;42;35;3;72.21;3;"Thriller"
3836;"45-54";"Female";"India";"Laptop";"Premium";"Evening";"French";92;38;27;5;3;86.8;2;"Thriller"
3837;"13-17";"Female";"UK";"TV";"Basic";"Night";"English";45;35;30;31;20;73.34;3;"Action"
3838;"13-17";"Male";"USA";"Tablet";"Basic";"Morning";"English";129;124;46;31;23;93.12;6;"Comedy"
3839;"25-34";"Male";"Canada";"Mobile";"Basic";"Morning";"German";103;82;55;8;20;59.21;1;"Drama"
3840;"25-34";"Non-binary";"India";"TV";"Premium";"Evening";"Japanese";127;90;45;6;6;87.49;4;"Thriller"
3841;"18-24";"Non-binary";"Australia";"TV";"Standard";"Evening";"French";72;76;32;53;7;94.6;5;"Action"
3842;"18-24";"Male";"UK";"Tablet";"Basic";"Night";"Japanese";111;99;25;44;21;68.19;2;"Thriller"
3843;"55+";"Female";"UK";"Mobile";"Basic";"Afternoon";"German";83;105;27;49;21;60.22;4;"Thriller"
3844;"25-34";"Female";"Australia";"Laptop";"Premium";"Evening";"Spanish";146;127;53;8;29;69.07;1;"Drama"
3845;"13-17";"Male";"India";"Tablet";"Premium";"Night";"English";73;71;30;64;1;73.22;3;"Thriller"
3846;"35-44";"Non-binary";"UK";"Mobile";"Standard";"Evening";"Hindi";201;45;57;4;28;77.91;1;"Thriller"
3847;"25-34";"Male";"Germany";"TV";"Standard";"Afternoon";"Japanese";191;133;42;32;28;75.02;1;"Thriller"
3848;"13-17";"Female";"Canada";"Tablet";"Basic";"Evening";"Japanese";41;31;25;53;9;76.08;4;"Comedy"
3849;"25-34";"Male";"India";"TV";"Premium";"Afternoon";"French";175;114;46;67;4;55.54;2;"Drama"
3850;"45-54";"Male";"Australia";"Mobile";"Standard";"Night";"Japanese";156;123;55;63;16;62.65;4;"Thriller"
3851;"25-34";"Non-binary";"India";"Laptop";"Standard";"Morning";"Spanish";192;119;47;60;24;55.99;0;"Drama"
3852;"55+";"Female";"Germany";"Laptop";"Standard";"Night";"German";160;12;32;33;6;82.47;1;"Drama"
3853;"45-54";"Female";"India";"TV";"Premium";"Morning";"Spanish";261;106;53;22;1;64.87;1;"Drama"
3854;"13-17";"Male";"USA";"TV";"Premium";"Night";"Japanese";71;45;43;31;5;66.66;3;"Thriller"
3855;"45-54";"Female";"Australia";"TV";"Premium";"Morning";"French";95;19;40;24;9;69.93;2;"Thriller"
3856;"25-34";"Female";"Canada";"Tablet";"Premium";"Night";"English";133;109;43;3;8;72.77;0;"Drama"
3857;"45-54";"Female";"Australia";"Mobile";"Premium";"Afternoon";"Japanese";46;30;46;33;27;87.34;4;"Thriller"
3858;"55+";"Female";"USA";"TV";"Basic";"Morning";"English";215;113;43;26;4;64.83;1;"Thriller"
3859;"35-44";"Non-binary";"Australia";"TV";"Basic";"Morning";"French";127;124;28;51;2;80.95;2;"Thriller"
3860;"45-54";"Non-binary";"Australia";"TV";"Premium";"Afternoon";"English";221;146;29;30;10;69.11;1;"Thriller"
3861;"55+";"Non-binary";"Canada";"Laptop";"Basic";"Afternoon";"Japanese";230;121;29;35;9;66.68;1;"Thriller"
3862;"45-54";"Non-binary";"USA";"TV";"Premium";"Morning";"Japanese";240;129;49;25;15;79.7;3;"Thriller"
3863;"18-24";"Non-binary";"Australia";"Mobile";"Basic";"Morning";"English";247;88;48;28;26;67.25;4;"Action"
3864;"35-44";"Female";"Germany";"Laptop";"Basic";"Morning";"Spanish";169;105;25;26;19;76.25;0;"Drama"
3865;"13-17";"Male";"Australia";"Mobile";"Standard";"Evening";"Spanish";74;117;52;8;18;65.06;3;"Action"
3866;"55+";"Male";"UK";"Laptop";"Premium";"Night";"French";137;128;45;15;0;87.71;4;"Thriller"
3867;"45-54";"Non-binary";"Australia";"Laptop";"Basic";"Afternoon";"Spanish";61;37;43;49;25;57.61;0;"Drama"
3868;"35-44";"Female";"Canada";"Tablet";"Basic";"Afternoon";"Hindi";250;15;47;8;29;84.56;5;"Action"
3869;"13-17";"Non-binary";"UK";"Laptop";"Standard";"Night";"English";231;70;38;55;10;64.66;2;"Thriller"
3870;"35-44";"Male";"Germany";"Laptop";"Basic";"Afternoon";"Hindi";98;15;30;58;28;93.55;5;"Action"
3871;"55+";"Female";"Germany";"Mobile";"Standard";"Afternoon";"Hindi";216;131;56;3;14;66.63;0;"Drama"
3872;"18-24";"Female";"Germany";"Mobile";"Basic";"Morning";"English";91;114;56;9;6;76.97;8;"Comedy"
3873;"55+";"Female";"USA";"TV";"Standard";"Afternoon";"Hindi";188;71;32;14;7;79.28;1;"Thriller"
3874;"55+";"Male";"Germany";"Tablet";"Standard";"Evening";"French";179;37;46;20;15;75.94;1;"Thriller"
3875;"13-17";"Male";"India";"Laptop";"Premium";"Evening";"French";50;89;32;4;17;71.85;2;"Action"
3876;"13-17";"Non-binary";"Canada";"Tablet";"Premium";"Morning";"English";221;18;34;24;23;66.64;2;"Action"
3877;"45-54";"Non-binary";"USA";"TV";"Basic";"Morning";"German";250;24;27;28;27;71.64;2;"Drama"
3878;"25-34";"Male";"UK";"Tablet";"Premium";"Afternoon";"German";161;29;37;31;24;61.92;0;"Drama"
3879;"55+";"Non-binary";"India";"Laptop";"Premium";"Morning";"English";237;69;54;67;22;88.79;2;"Drama"
3880;"13-17";"Male";"USA";"Mobile";"Premium";"Morning";"English";273;84;28;64;10;77.68;6;"Comedy"
3881;"55+";"Female";"Canada";"Tablet";"Basic";"Night";"English";53;103;30;17;0;87.67;1;"Thriller"
3882;"55+";"Non-binary";"UK";"Laptop";"Basic";"Morning";"Spanish";72;76;40;6;15;69.34;3;"Thriller"
3883;"13-17";"Male";"Canada";"TV";"Premium";"Evening";"English";278;11;46;60;3;69.7;6;"Action"
3884;"18-24";"Male";"Canada";"Laptop";"Premium";"Afternoon";"French";141;53;51;11;22;99.12;7;"Comedy"
3885;"18-24";"Male";"UK";"Tablet";"Basic";"Morning";"French";116;143;45;38;5;94.7;2;"Action"
3886;"55+";"Non-binary";"Germany";"Laptop";"Premium";"Night";"Japanese";65;145;53;34;10;60.2;4;"Thriller"
3887;"18-24";"Non-binary";"Australia";"Laptop";"Standard";"Afternoon";"German";181;48;25;47;29;70.35;5;"Action"
3888;"55+";"Female";"Canada";"Tablet";"Basic";"Afternoon";"German";276;102;54;32;23;87.34;1;"Drama"
3889;"45-54";"Non-binary";"Germany";"Tablet";"Basic";"Afternoon";"English";255;53;48;57;5;58.59;0;"Drama"
3890;"13-17";"Non-binary";"UK";"TV";"Standard";"Night";"German";215;36;37;46;9;90.32;3;"Action"
3891;"55+";"Non-binary";"Canada";"Laptop";"Premium";"Evening";"English";104;25;54;35;5;75.22;2;"Thriller"
3892;"18-24";"Female";"Australia";"Mobile";"Standard";"Night";"English";85;48;50;22;9;90.66;3;"Comedy"
3893;"18-24";"Female";"UK";"Tablet";"Premium";"Night";"German";166;138;58;16;21;86.43;3;"Comedy"
3894;"35-44";"Female";"USA";"Laptop";"Premium";"Afternoon";"German";276;42;44;5;22;87.55;2;"Drama"
3895;"35-44";"Non-binary";"USA";"Mobile";"Basic";"Night";"Japanese";222;59;30;26;4;87.95;4;"Action"
3896;"18-24";"Male";"Germany";"Mobile";"Basic";"Afternoon";"Hindi";133;112;33;24;27;78.46;3;"Action"
3897;"45-54";"Non-binary";"USA";"Laptop";"Premium";"Morning";"Japanese";113;36;40;67;26;82.51;1;"Drama"
3898;"25-34";"Female";"India";"Laptop";"Standard";"Morning";"Japanese";167;133;28;32;8;71.44;3;"Action"
3899;"55+";"Non-binary";"Canada";"Laptop";"Basic";"Night";"German";113;95;56;23;6;68.6;1;"Thriller"
3900;"35-44";"Non-binary";"Canada";"Mobile";"Premium";"Evening";"French";259;37;44;49;16;72.43;1;"Drama"
3901;"55+";"Male";"UK";"Laptop";"Basic";"Afternoon";"Japanese";235;73;53;62;26;57.41;1;"Drama"
3902;"35-44";"Male";"India";"Tablet";"Basic";"Night";"French";245;58;55;66;11;70.13;2;"Thriller"
3903;"13-17";"Non-binary";"Canada";"Mobile";"Basic";"Night";"German";179;120;41;11;27;93.05;4;"Action"
3904;"13-17";"Female";"UK";"Tablet";"Standard";"Evening";"Spanish";221;137;49;18;29;92.61;5;"Comedy"
